type,location,bedroom,bathroom,size_sqm,price
Apartment, Cairo,2,1,69,1000000
Studio, New Capital Compounds,1,1,70,1000000
Apartment, 5th Settlement Compounds,1,1,75,1000000
Apartment, Cairo,2,1,78,1000000
Apartment, 5th Settlement Compounds,2,1,112,1000000
Apartment, 5th Settlement Compounds,2,1,112,1000000
Apartment, Al Andalus District,3,1,117,1000000
Apartment, 10th District,2,1,120,1000000
Apartment, Al Andalus District,3,1,120,1000000
Apartment, Mostakbal City Compounds,1,1,70,1018255
Apartment, 5th Settlement Compounds,2,1,145,1048000
Studio, Cairo,1,1,58,1050000
Apartment, 1st Zone,2,1,120,1050000
Apartment, 8th Zone,2,1,130,1050000
Apartment, 8th Zone,2,1,130,1050000
Apartment, The 5th Settlement,3,1,140,1050000
Apartment, New Capital Compounds,1,1,85,1054000
Apartment, New Capital City,2,1,177,1068130
Studio, New Capital Compounds,1,1,71,1070000
Apartment, Mostakbal City Compounds,1,1,105,1072208
Apartment, New Capital City,2,1,110,1072500
Apartment, New Capital City,2,1,110,1072500
Studio, New Capital Compounds,1,1,80,1075000
Apartment, New Capital Compounds,2,1,120,1080000
Apartment, New Capital Compounds,2,1,120,1080000
Apartment, New Capital Compounds,2,1,120,1080000
Apartment, Zahraa El Maadi,3,1,115,1092000
Apartment, Zahraa El Maadi,3,1,115,1092500
Apartment, Zahraa El Maadi,3,1,115,1092500
Apartment, 1st Zone,2,1,100,1100000
Apartment, New Capital Compounds,2,1,101,1100000
Apartment, New Capital Compounds,2,1,110,1100000
Apartment, 6th Zone,3,1,140,1100000
Apartment, North Investors Area,2,1,145,1100000
Apartment, The 5th Settlement,3,1,170,1105001
Apartment, Mostakbal City Compounds,1,1,77,1111780
Apartment, Cairo,1,1,60,1120000
Studio, 5th Settlement Compounds,1,1,62,1150000
Apartment, Cairo,2,1,78,1150000
Apartment, Cairo,3,1,145,1150000
Apartment, Mostakbal City Compounds,1,1,76,1159000
Apartment, The 5th Settlement,2,1,173,1159100
Apartment, The 5th Settlement,2,1,173,1159100
Apartment, Mostakbal City Compounds,1,1,114,1163400
Apartment, New Fustat,3,1,127,1170000
