type,location,bedroom,bathroom,size_sqm,price
Apartment, Mostakbal City Compounds,1,1,70,1190000
Apartment, Cairo,1,1,65,1200000
Apartment, Cairo,2,1,70,1200000
Apartment, 5th Settlement Compounds,1,1,83,1200000
Apartment, Cairo,2,1,91,1200000
Apartment, Cairo,2,1,92,1200000
Apartment, New Capital City,2,1,110,1200000
Apartment, Zahraa El Maadi,2,1,116,1200000
Apartment, 1st Zone,3,1,125,1200000
Apartment, Al Andalus District,3,1,130,1200000
Apartment, New Maadi Extension,2,1,135,1200000
Apartment, District 4,3,1,150,1200000
Apartment, Nasr City,3,1,164,1200000
Apartment, Cairo,2,1,70,1225000
Studio, Almazah,1,1,57,1238000
Apartment, 5th Settlement Compounds,1,1,64,1247392
Apartment, Al Hadiqah Al Dawliyah,2,1,140,1249000
Apartment, Cairo,2,1,100,1250000
Apartment, Al Narges,2,1,113,1250000
Apartment, Al Nadi Al Ahly,3,1,125,1250000
Apartment, Zahraa El Maadi,2,1,134,1250000
Apartment, 5th Settlement Compounds,1,1,78,1252000
Apartment, The 5th Settlement,2,1,174,1264400
Apartment, Mostakbal City Compounds,1,1,76,1292000
Apartment, Cairo,1,1,47,1300000
Studio, 5th Settlement Compounds,1,1,47,1300000
Studio, 5th Settlement Compounds,1,1,47,1300000
Studio, El Korba,1,1,70,1300000
Apartment, Cairo,2,1,70,1300000
Apartment, Cairo,2,1,77,1300000
Apartment, Cairo,2,1,78,1300000
Apartment, Nasr City Compounds,2,1,115,1300000
Apartment, New Capital Compounds,2,1,118,1300000
Apartment, 6th Zone,2,1,121,1300000
Apartment, El Ismailia Square,2,1,123,1300000
Apartment, Al Hadiqah Al Dawliyah,2,1,140,1300000
Apartment, 6th Zone,3,1,140,1300000
Apartment, 8th Zone,3,1,165,1300000
Apartment, Al Hadiqah Al Dawliyah,2,1,175,1300000
Studio, New Capital City,1,1,55,1320000
Apartment, Cairo,2,1,66,1320000
Apartment, Mostakbal City Compounds,2,1,107,1321210
Apartment, Mostakbal City Compounds,2,1,100,1331021
Studio, Downtown Area,1,1,35,1344000
Studio, Downtown Area,1,1,35,1344000
Apartment, Cairo,2,1,67,1350000
Apartment, Cairo,2,1,77,1350000
Apartment, Cairo,3,1,114,1350000
Apartment, El Mahkama Square,2,1,120,1350000
Apartment, 6th Zone,3,1,125,1350000
Apartment, 8th Zone,3,1,125,1350000
Apartment, El Lotus,3,1,140,1350000
Apartment, El Estad,3,1,145,1350000
Apartment, 9th Zone,3,1,150,1350000
Apartment, 8th Zone,2,1,165,1350000
Apartment, 8th Zone,2,1,165,1350000
Compound, New Fustat,3,1,127,1369000
Apartment, Cairo,2,1,92,1370000
Apartment, 5th Settlement Compounds,1,1,84,1388213
Compound, New Fustat,3,1,127,1396000
Apartment, Cairo,2,1,82,1400000
Apartment, Cairo,2,1,92,1400000
Apartment, Cairo,2,1,92,1400000
Apartment, Cairo,2,1,107,1400000
Apartment, Ard El Golf,2,1,110,1400000
Apartment, Ard El Golf,3,1,133,1400000
Apartment, Cairo,2,1,90,1420000
Apartment, Sheraton Al Matar,1,1,76,1444000
Apartment, Cairo,2,1,82,1450000
Apartment, Cairo,2,1,82,1450000
Apartment, Cairo,2,1,92,1450000
Apartment, Al Narges,3,1,135,1450000
Apartment, Almazah,3,1,140,1450000
Apartment, Hadayek El Zaytoun,3,1,165,1450000
Apartment, 5th Settlement Compounds,2,1,105,1457000
Apartment, Cairo,3,1,96,1475000
Apartment, New Capital Compounds,1,1,99,1485000
Hotel Apartment, Downtown Area,1,1,36,1500000
Apartment, 5th Settlement Compounds,1,1,75,1500000
Apartment, Cairo,2,1,82,1500000
Apartment, Rehab City First Phase,2,1,90,1500000
Apartment, Rehab City Third Phase,2,1,90,1500000
Apartment, Rehab City First Phase,2,1,90,1500000
Apartment, 5th Settlement Compounds,2,1,98,1500000
Apartment, Cairo,2,1,106,1500000
Apartment, El Banafseg,2,1,120,1500000
Apartment, El Hegaz Square,2,1,120,1500000
Apartment, Cairo,3,1,137,1500000
Apartment, New Capital City,2,1,140,1500000
Apartment, Cairo,4,1,150,1500000
Apartment, Shobra,3,1,165,1500000
Apartment, New Cairo City,3,1,168,1525318
Apartment, Cairo,2,1,96,1530000
Apartment, 5th Settlement Compounds,2,1,110,1540000
Studio, Rehab City Fifth Phase,1,1,60,1550000
Apartment, Cairo,2,1,70,1550000
Apartment, Rehab City Third Phase,2,1,90,1550000
Apartment, Rehab City Third Phase,2,1,90,1550000
Apartment, Rehab City Third Phase,2,1,90,1550000
Apartment, Rehab City Third Phase,2,1,90,1550000
Apartment, 5th Settlement Compounds,2,1,94,1550000
Apartment, Cairo,3,1,96,1550000
Apartment, 9th District,2,1,140,1550000
Apartment, New Capital Compounds,1,1,80,1550640
Apartment, 5th Settlement Compounds,1,1,75,1564000
Studio, 5th Settlement Compounds,1,1,87,1575000
Penthouse, The 5th Settlement,2,1,140,1586300
Apartment, 5th Settlement Compounds,2,1,120,1590000
Studio, Al Rehab,1,1,60,1600000
Studio, Al Rehab,1,1,60,1600000
Apartment, 5th Settlement Compounds,2,1,86,1600000
Studio, 5th Settlement Compounds,1,1,90,1600000
Apartment, Cairo,2,1,96,1600000
Apartment, Cairo,3,1,103,1600000
Apartment, New Capital Compounds,2,1,110,1600000
Apartment, Cairo,3,1,160,1600000
Studio, 5th Settlement Compounds,1,1,82,1627000
Apartment, Mostakbal City Compounds,2,1,154,1635000
Studio, Al Rehab,1,1,60,1650000
Apartment, Al Rehab,2,1,90,1650000
Apartment, Area F,2,1,105,1650000
Apartment, Roxy,2,1,130,1650000
Apartment, Cairo,3,1,170,1650000
Apartment, 6th Zone,3,1,175,1650000
Apartment, South Investors Area,2,1,125,1659000
Apartment, Mostakbal City Compounds,2,1,126,1676000
Apartment, Mostakbal City Compounds,2,1,114,1684800
Apartment, Rehab City Third Phase,2,1,89,1700000
Apartment, Al Rehab,2,1,90,1700000
Apartment, Rehab City Fifth Phase,2,1,90,1700000
Apartment, Al Rehab,2,1,90,1700000
Apartment, Rehab City Third Phase,2,1,90,1700000
Apartment, 5th Settlement Compounds,1,1,96,1700000
Apartment, New Cairo City,2,1,97,1700000
Apartment, Cairo,2,1,101,1700000
Apartment, Cairo,2,1,107,1700000
Apartment, Cairo,2,1,107,1700000
Apartment, Cairo,2,1,108,1700000
Apartment, 5th Settlement Compounds,2,1,128,1700000
Apartment, 5th Settlement Compounds,2,1,128,1700000
Hotel Apartment, New Capital City,1,1,43,1703000
Apartment, 5th Settlement Compounds,1,1,70,1722000
Apartment, Rehab City Fifth Phase,2,1,90,1750000
Apartment, Al Rehab,2,1,90,1750000
Apartment, District 1,2,1,105,1750000
Apartment, Cairo,2,1,107,1750000
Apartment, 5th Settlement Compounds,2,1,117,1750000
Apartment, 5th Settlement Compounds,2,1,119,1750000
Apartment, South Investors Area,2,1,125,1750000
Apartment, 5th Settlement Compounds,2,1,128,1770000
Apartment, Cairo,2,1,113,1775000
Apartment, Rehab City Fifth Phase,2,1,90,1780000
Apartment, 5th Settlement Compounds,2,1,98,1789500
Apartment, South Investors Area,1,1,90,1800000
Apartment, Al Rehab,2,1,90,1800000
Apartment, Al Rehab,2,1,90,1800000
Apartment, New Capital Compounds,2,1,111,1800000
Apartment, Heliopolis - Masr El Gedida,3,1,165,1800000
Apartment, Mostakbal City Compounds,2,1,128,1813000
Apartment, Mostakbal City Compounds,2,1,133,1840000
Apartment, South Investors Area,1,1,88,1850000
Studio, South Investors Area,1,1,88,1850000
Studio, South Investors Area,1,1,88,1850000
Studio, South Investors Area,1,1,90,1850000
Studio, South Investors Area,1,1,90,1850000
Apartment, Rehab City Forth Phase,2,1,104,1850000
Apartment, 5th Settlement Compounds,2,1,85,1867000
Studio, New Capital Compounds,1,1,75,1880000
Villa, The 5th Settlement,2,1,258,1897700
Apartment, 5th Settlement Compounds,1,1,82,1900000
Apartment, South Investors Area,1,1,90,1900000
Studio, South Investors Area,1,1,90,1900000
Apartment, Al Rehab,2,1,99,1900000
Apartment, New Capital Compounds,2,1,107,1900000
Apartment, Cairo,3,1,140,1900000
Apartment, Cairo,3,1,143,1900000
Studio, North Investors Area,1,1,48,1920000
Apartment, 5th Settlement Compounds,1,1,83,1920000
Apartment, 5th Settlement Compounds,1,1,83,1920000
Hotel Apartment, Downtown Area,1,1,62,1934400
Apartment, 5th Settlement Compounds,2,1,113,1944000
Studio, South Investors Area,1,1,90,1949999
Apartment, South Investors Area,1,1,88,1950000
Apartment, South Investors Area,1,1,88,1950000
Apartment, El Hegaz Square,3,1,190,1950000
Apartment, 5th Settlement Compounds,1,1,85,1960000
Hotel Apartment, Downtown Area,1,1,63,1965600
Hotel Apartment, Downtown Area,1,1,63,1965600
Studio, South Investors Area,1,1,90,2000000
Apartment, 5th Settlement Compounds,1,1,97,2000000
Apartment, North Investors Area,1,1,100,2000000
Apartment, Mostakbal City Compounds,1,1,102,2000000
Apartment, Cairo,3,1,113,2000000
Apartment, Rehab City Third Phase,2,1,115,2000000
Apartment, 5th Settlement Compounds,1,1,83,2005000
Apartment, 5th Settlement Compounds,2,1,128,2030000
Apartment, 5th Settlement Compounds,2,1,125,2047500
Apartment, South Investors Area,2,1,88,2050000
Apartment, South Investors Area,2,1,88,2050000
Apartment, El Shorouk Compounds,2,1,130,2050000
Apartment, 5th Settlement Compounds,2,1,139,2050000
Apartment, South Investors Area,1,1,88,2100000
Studio, South Investors Area,1,1,90,2100000
Apartment, Al Andalus District,2,1,125,2100000
Apartment, Cairo,3,1,143,2100000
Apartment, 5th Settlement Compounds,1,1,96,2136000
Hotel Apartment, Downtown Area,1,1,69,2147280
Hotel Apartment, Downtown Area,1,1,69,2147280
Apartment, New Capital City,3,1,144,2150000
Apartment, 5th Settlement Compounds,1,1,94,2180000
Apartment, 5th Settlement Compounds,1,1,96,2180000
Apartment, 5th Settlement Compounds,1,1,75,2200000
Apartment, 5th Settlement Compounds,1,1,90,2200000
Apartment, Al Andalus District,1,1,90,2200000
Apartment, Zamalek,2,1,110,2200000
Apartment, Cairo,3,1,145,2200000
Apartment, New Capital Compounds,2,1,111,2240000
Apartment, South Investors Area,2,1,146,2250000
Apartment, 5th Settlement Compounds,1,1,96,2261772
Apartment, Ring Road,2,1,144,2300000
Apartment, North Investors Area,2,1,122,2330000
Apartment, Al Rehab,3,1,122,2350000
Apartment, 5th Settlement Compounds,2,1,128,2350000
Apartment, New Capital Compounds,2,1,137,2380000
Apartment, 5th Settlement Compounds,2,1,140,2387000
Hotel Apartment, New Capital City,2,1,59,2400000
Apartment, South Investors Area,1,1,88,2400000
Apartment, El Hegaz Square,3,1,190,2400000
Apartment, Cairo,3,1,240,2400000
Apartment, 5th Settlement Compounds,2,1,128,2420000
Apartment, 5th Settlement Compounds,2,1,128,2420000
Apartment, El Shorouk Compounds,1,1,130,2426533
Apartment, 5th Settlement Compounds,3,1,108,2430484
Apartment, 5th Settlement Compounds,1,1,70,2442000
Apartment, New Capital Compounds,2,1,92,2460000
Apartment, 5th Settlement Compounds,1,1,95,2466000
Apartment, 5th Settlement Compounds,1,1,95,2466192
Apartment, North Investors Area,1,1,90,2488000
Apartment, 5th Settlement Compounds,1,1,81,2500000
Apartment, 5th Settlement Compounds,1,1,85,2500000
Apartment, 5th Settlement Compounds,1,1,85,2500000
Villa, 5th Settlement Compounds,1,1,96,2500000
Apartment, North Investors Area,1,1,100,2500000
Apartment, 5th Settlement Compounds,2,1,169,2500000
Apartment, 5th Settlement Compounds,2,1,169,2500000
Apartment, Ring Road,2,1,126,2508812
Apartment, 5th Settlement Compounds,2,1,110,2520000
Hotel Apartment, Downtown Area,1,1,100,2527201
Apartment, New Capital Compounds,3,1,164,2540000
Hotel Apartment, Downtown Area,1,1,59,2583932
Apartment, 5th Settlement Compounds,2,1,115,2600000
Apartment, Mostakbal City Compounds,2,1,153,2600000
Apartment, South Investors Area,2,1,135,2604000
Apartment, 5th Settlement Compounds,2,1,128,2614000
Apartment, 5th Settlement Compounds,2,1,156,2670000
Apartment, 5th Settlement Compounds,2,1,157,2700000
Apartment, 5th Settlement Compounds,2,1,157,2700000
Apartment, 5th Settlement Compounds,1,1,85,2750000
Apartment, 5th Settlement Compounds,2,1,155,2750000
Apartment, South Investors Area,2,1,165,2760000
Apartment, 5th Settlement Compounds,1,1,85,2761000
Hotel Apartment, Downtown Area,1,1,59,2800000
Hotel Apartment, Downtown Area,1,1,59,2800000
Apartment, 5th Settlement Compounds,2,1,120,2800000
Apartment, 5th Settlement Compounds,2,1,157,2800000
Apartment, 5th Settlement Compounds,2,1,157,2800000
Apartment, 5th Settlement Compounds,2,1,157,2800000
Apartment, 5th Settlement Compounds,2,1,186,2800000
Apartment, 5th Settlement Compounds,2,1,186,2800000
Apartment, 5th Settlement Compounds,3,1,186,2800000
Apartment, 5th Settlement Compounds,1,1,72,2805000
iVilla, 5th Settlement Compounds,1,1,100,2840000
Penthouse, 5th Settlement Compounds,3,1,166,2850000
Apartment, 5th Settlement Compounds,2,1,133,2861000
Apartment, New Capital Compounds,2,1,122,2891323
Apartment, New Capital Compounds,1,1,90,2900000
Apartment, 5th Settlement Compounds,2,1,128,2905600
Apartment, Shorouk City,2,1,135,2950000
Hotel Apartment, New Capital City,1,1,59,3000000
Apartment, Downtown Area,2,1,60,3000000
Apartment, 5th Settlement Compounds,1,1,85,3000000
Apartment, 5th Settlement Compounds,1,1,100,3000000
Apartment, 5th Settlement Compounds,2,1,128,3000000
Hotel Apartment, 5th Settlement Compounds,1,1,65,3039000
Apartment, The 5th Settlement,2,1,115,3100000
Apartment, South Investors Area,2,1,146,3100000
Apartment, 5th Settlement Compounds,2,1,108,3150000
Apartment, Rehab City Second Phase,2,1,115,3200000
Apartment, 5th Settlement Compounds,3,1,160,3262050
Apartment, The 1st Settlement,1,1,93,3373500
Duplex, 5th Settlement Compounds,3,1,250,3400000
Studio, 5th Settlement Compounds,1,1,74,3429000
Apartment, 5th Settlement Compounds,2,1,99,3450000
Apartment, 5th Settlement Compounds,2,1,160,3470000
Townhouse, Mostakbal City Compounds,3,1,218,3478000
Apartment, North Investors Area,2,1,132,3588000
Apartment, 5th Settlement Compounds,1,1,81,3600000
Apartment, 5th Settlement Compounds,1,1,89,3600000
Apartment, 5th Settlement Compounds,3,1,135,3601449
Apartment, Zamalek,3,1,175,3700000
Apartment, 5th Settlement Compounds,3,1,135,3724120
Apartment, South Investors Area,3,1,161,3750000
Apartment, 5th Settlement Compounds,1,1,85,3770000
Apartment, Cairo,3,1,168,3800000
Duplex, 5th Settlement Compounds,2,1,210,3970000
Apartment, 5th Settlement Compounds,1,1,85,3991450
Apartment, 5th Settlement Compounds,3,1,188,4078000
Apartment, 5th Settlement Compounds,3,1,185,4199999
Apartment, 5th Settlement Compounds,1,1,96,4220000
Apartment, Uptown Cairo,1,1,58,4224723
Apartment, 5th Settlement Compounds,2,1,162,4282000
Villa, 5th Settlement Compounds,3,1,166,4434000
Apartment, 5th Settlement Compounds,3,1,187,4500000
Apartment, North Investors Area,3,1,195,4875000
Apartment, North Investors Area,3,1,195,4875000
Apartment, North Investors Area,3,1,195,4875000
Apartment, North Investors Area,2,1,192,4916000
Studio, 5th Settlement Compounds,1,1,95,5100000
Apartment, North Investors Area,3,1,209,5293000
Duplex, 5th Settlement Compounds,3,1,236,5310000
Apartment, 5th Settlement Compounds,1,1,82,5324888
Apartment, 5th Settlement Compounds,1,1,85,5495000
Apartment, 5th Settlement Compounds,1,1,85,5495000
Apartment, 5th Settlement Compounds,2,1,135,6000000
Townhouse, 5th Settlement Compounds,3,1,261,6187000
Apartment, New Capital Compounds,1,1,115,6313000
Apartment, 5th Settlement Compounds,3,1,216,6441000
Apartment, North Investors Area,3,1,245,6787000
Townhouse, New Capital Compounds,3,1,230,7509999
Hotel Apartment, Downtown Area,2,1,190,10850000
Apartment, Mostakbal City Compounds,1,2,88,1000000
Apartment, 5th Settlement Compounds,2,2,115,1000000
Apartment, North Investors Area,3,2,115,1000000
Apartment, 5th Settlement Compounds,2,2,123,1000000
Apartment, Hay El Maadi,2,2,135,1000000
Apartment, Al Andalus District,3,2,140,1000000
Apartment, Shorouk City,3,2,145,1000000
Apartment, Zahraa El Maadi,3,2,150,1000000
Apartment, 5th Settlement Compounds,2,2,155,1000000
Penthouse, 2nd Neighborhood,3,2,250,1000000
Apartment, 2nd Area,3,2,136,1013200
Apartment, New Cairo City,3,2,155,1015000
Apartment, The 5th Settlement,3,2,140,1022000
Duplex, Mostakbal City Compounds,1,2,127,1025470
Apartment, The 5th Settlement,3,2,153,1040400
Apartment, 5th Settlement Compounds,2,2,130,1047000
Apartment, El Lotus,3,2,129,1050000
Apartment, The 5th Settlement,3,2,133,1050000
Apartment, Zahraa El Maadi,2,2,135,1050000
Apartment, The 5th Settlement,3,2,135,1050000
Apartment, 90 Street,3,2,167,1057505
Apartment, The 5th Settlement,3,2,142,1060000
Apartment, Shorouk City,3,2,175,1067500
Apartment, North Investors Area,3,2,205,1070000
Apartment, North Investors Area,3,2,205,1070000
Apartment, Cairo,2,2,120,1080000
Apartment, New Capital Compounds,2,2,120,1080000
Apartment, The 5th Settlement,3,2,134,1080000
Apartment, Mostakbal City Compounds,2,2,135,1080000
Apartment, The 5th Settlement,3,2,130,1082000
Apartment, 5th Settlement Compounds,2,2,145,1092000
Apartment, New Capital Compounds,2,2,100,1100000
Apartment, New Fustat,2,2,120,1100000
Apartment, New Fustat,2,2,120,1100000
Apartment, District 4,3,2,125,1100000
Apartment, The 5th Settlement,3,2,133,1100000
Apartment, The 5th Settlement,3,2,133,1100000
Apartment, Al Hadaba Al Wosta,3,2,137,1100000
Apartment, 9th Area,3,2,140,1100000
Apartment, Al Nadi Al Ahly,3,2,150,1100000
Penthouse, 5th Settlement Compounds,3,2,166,1100000
Apartment, South Investors Area,3,2,173,1100000
Apartment, 1st Zone,3,2,175,1100000
Apartment, 1st Area,3,2,175,1100000
Apartment, The 5th Settlement,3,2,200,1100000
iVilla, 5th Settlement Compounds,3,2,225,1103621
Apartment, New Capital Compounds,2,2,140,1112000
Apartment, Abbasia,2,2,115,1115500
Penthouse, North Investors Area,3,2,167,1121800
Apartment, The 5th Settlement,3,2,157,1123750
Penthouse, 5th Settlement Compounds,3,2,166,1130000
Apartment, New Capital Compounds,2,2,116,1133000
Apartment, New Capital Compounds,2,2,116,1133000
Apartment, The 5th Settlement,3,2,142,1136600
Apartment, New Capital Compounds,2,2,139,1137780
Apartment, New Capital Compounds,2,2,139,1137780
Apartment, The 5th Settlement,2,2,165,1138500
Apartment, The 5th Settlement,2,2,165,1138500
Apartment, The 5th Settlement,2,2,165,1138500
Apartment, The 5th Settlement,2,2,165,1138500
Apartment, Al Hadaba Al Wosta,2,2,134,1139000
Apartment, The 5th Settlement,3,2,135,1147500
Apartment, Cairo,2,2,96,1150000
Apartment, New Cairo City,3,2,155,1150000
Apartment, South Investors Area,3,2,157,1151050
Apartment, The 5th Settlement,3,2,163,1151148
Apartment, The 5th Settlement,3,2,159,1151150
Apartment, The 5th Settlement,3,2,130,1159000
Duplex, The 5th Settlement,3,2,250,1159100
Apartment, Zahraa El Maadi,3,2,138,1159200
Apartment, 5th Settlement Compounds,2,2,135,1160000
Apartment, 5th Settlement Compounds,2,2,150,1164000
Apartment, Al Andalus District,2,2,137,1164500
Apartment, New Capital Compounds,2,2,130,1170000
Apartment, Zahraa El Maadi,2,2,120,1180000
Apartment, 5th Settlement Compounds,3,2,145,1180000
Apartment, The 5th Settlement,3,2,157,1180000
Apartment, Al Hadaba Al Wosta,3,2,200,1180000
Apartment, Mostakbal City Compounds,2,2,122,1185000
Apartment, Al Hadaba Al Wosta,2,2,136,1190000
Apartment, Ard El Golf,2,2,100,1200000
Hotel Apartment, Mostakbal City Compounds,2,2,107,1200000
Apartment, New Capital Compounds,2,2,113,1200000
Apartment, New Capital Compounds,2,2,113,1200000
Apartment, New Fustat,2,2,120,1200000
Apartment, 6th District,3,2,122,1200000
Apartment, 6th District,3,2,122,1200000
Apartment, 8th Area,3,2,150,1200000
Apartment, 9th Zone,3,2,150,1200000
Apartment, Mostakbal City Compounds,3,2,160,1200000
Apartment, 6th Zone,3,2,160,1200000
Apartment, 5th Settlement Compounds,3,2,164,1200000
Apartment, 5th Settlement Compounds,3,2,170,1200000
Apartment, Al Andalus District,3,2,170,1200000
Villa, 5th Settlement Compounds,4,2,265,1200000
Penthouse, 5th Settlement Compounds,3,2,270,1200000
Apartment, El Shorouk Compounds,3,2,131,1203110
Apartment, The 5th Settlement,3,2,157,1205000
Apartment, 1st Area,3,2,164,1206442
Apartment, 2nd Area,3,2,164,1206442
Apartment, Al Andalus District,3,2,138,1214400
Apartment, 6th District,3,2,135,1214549
Apartment, 6th District,3,2,128,1215539
Apartment, El Katameya Compounds,3,2,137,1233000
Apartment, Hay El Maadi,3,2,132,1235380
Townhouse, 5th District,4,2,259,1240000
Apartment, New Capital Compounds,2,2,112,1242290
Apartment, The 5th Settlement,3,2,172,1247000
Apartment, Zahraa El Maadi,3,2,160,1248000
Apartment, 5th Settlement Compounds,1,2,82,1250000
Apartment, Cairo,2,2,96,1250000
Apartment, 5th Settlement Compounds,2,2,125,1250000
Apartment, North Investors Area,3,2,130,1250000
Apartment, Roxy,2,2,140,1250000
Apartment, Al Andalus District,3,2,160,1250000
Apartment, The 3rd Settlement,3,2,161,1250000
Apartment, Mostakbal City Compounds,2,2,163,1250000
Apartment, 5th Settlement Compounds,3,2,164,1250000
Apartment, Al Andalus District,3,2,165,1250000
Apartment, 8th Area,3,2,170,1250000
Apartment, Cairo,3,2,170,1250000
Penthouse, 5th Settlement Compounds,3,2,175,1250000
Penthouse, 5th Settlement Compounds,3,2,175,1250000
Apartment, North Investors Area,3,2,143,1251000
Apartment, Uptown Cairo,2,2,140,1251832
Apartment, New Fustat,2,2,120,1254000
Apartment, New Fustat,2,2,120,1254000
Compound, New Fustat,2,2,120,1254000
Chalet, 2nd Area,3,2,161,1259929
Apartment, The 5th Settlement,3,2,155,1262500
Apartment, The 5th Settlement,3,2,158,1264000
Apartment, 6th District,3,2,132,1270019
Apartment, 6th District,3,2,132,1270019
Apartment, 5th Settlement Compounds,2,2,143,1275000
Apartment, 5th Settlement Compounds,2,2,143,1275000
Apartment, Al Hadaba Al Wosta,3,2,146,1277500
Apartment, New Capital Compounds,2,2,120,1280000
Apartment, El Shorouk Compounds,1,2,135,1280000
Apartment, Mostakbal City Compounds,3,2,148,1280000
Apartment, 6th District,3,2,138,1284504
Apartment, Mostakbal City Compounds,2,2,125,1286000
Apartment, The 5th Settlement,3,2,174,1287600
Apartment, Al Andalus District,3,2,151,1290000
Apartment, New Fustat,2,2,120,1293600
Apartment, El Lotus,2,2,135,1296000
Apartment, 6th District,3,2,133,1296259
Studio, 5th Settlement Compounds,1,2,82,1300000
Apartment, New Capital Compounds,2,2,112,1300000
Apartment, 5th Settlement Compounds,2,2,128,1300000
Apartment, New Capital Compounds,2,2,130,1300000
Apartment, El Shorouk Compounds,2,2,135,1300000
Apartment, Al Andalus District,2,2,135,1300000
Apartment, El Estad,2,2,140,1300000
Apartment, South Investors Area,3,2,155,1300000
Apartment, Mohamed Naguib Axis,3,2,160,1300000
Apartment, Mohamed Naguib Axis,3,2,160,1300000
Apartment, Al Hadiqah Al Dawliyah,3,2,160,1300000
Apartment, 7th District,3,2,160,1300000
Apartment, Al Andalus District,3,2,160,1300000
Apartment, Maadi,3,2,160,1300000
Apartment, Cairo,3,2,160,1300000
Apartment, Al Andalus District,3,2,165,1300000
Apartment, 1st Zone,3,2,165,1300000
Apartment, Zahraa El Maadi,3,2,170,1300000
Apartment, Hadayek El Kobba,3,2,176,1300000
Apartment, Ard El Golf,3,2,200,1300000
Apartment, The 5th Settlement,3,2,165,1303500
Apartment, El Shorouk Compounds,3,2,141,1312570
Apartment, North Investors Area,3,2,160,1316000
Apartment, New Capital Compounds,3,2,136,1321920
Apartment, The 5th Settlement,3,2,176,1328000
Apartment, 6th Zone,3,2,170,1330000
Apartment, Al Hadaba Al Wosta,3,2,153,1338750
Apartment, 5th Settlement Compounds,1,2,86,1350000
Apartment, 5th Settlement Compounds,1,2,86,1350000
Apartment, 5th Settlement Compounds,1,2,86,1350000
Apartment, 5th Settlement Compounds,1,2,86,1350000
Apartment, 5th Settlement Compounds,1,2,86,1350000
Apartment, Cairo,2,2,96,1350000
Apartment, Cairo,2,2,96,1350000
Apartment, Cairo,3,2,114,1350000
Apartment, Cairo,3,2,115,1350000
Apartment, Ard El Golf,2,2,120,1350000
Apartment, Al Sefarat District,2,2,125,1350000
Apartment, 7th District,2,2,125,1350000
Apartment, 5th Settlement Compounds,3,2,125,1350000
Apartment, 5th Settlement Compounds,2,2,140,1350000
Apartment, Zahraa El Maadi,2,2,140,1350000
Apartment, 5th Settlement Compounds,2,2,140,1350000
Apartment, 5th Settlement Compounds,2,2,140,1350000
Apartment, 1st Zone,3,2,150,1350000
Apartment, 5th Settlement Compounds,2,2,160,1350000
Apartment, 1st Zone,2,2,160,1350000
Apartment, 9th Zone,3,2,160,1350000
Apartment, Al Waha City,3,2,165,1350000
Apartment, Hay El Maadi,3,2,175,1350000
Apartment, 5th Settlement Compounds,3,2,185,1350000
Apartment, 5th Settlement Compounds,3,2,185,1350000
Apartment, 6th Zone,3,2,200,1350000
Apartment, 6th Zone,3,2,200,1350000
Apartment, Shorouk City,3,2,200,1350000
Apartment, 8th Area,3,2,200,1350000
Penthouse, The 1st Settlement,3,2,257,1350000
Penthouse, The 1st Settlement,3,2,257,1350000
Townhouse, New Capital Compounds,3,2,350,1350000
